Price,Date,Close,High,Low,Open,Volume,timestamp,SMA20,SMA50
Ticker,,MSUMI.NS,MSUMI.NS,MSUMI.NS,MSUMI.NS,MSUMI.NS,,,
0,2022-03-28,42.40279006958008,46.85183128187239,42.40279006958008,44.6273088479996,42214051,2022-03-28,,
1,2022-03-29,40.31516647338867,41.06808394721897,40.31516647338867,40.31516647338867,107432712,2022-03-29,,
2,2022-03-30,42.19744873046875,42.30011944677583,38.330205797137104,38.330205797137104,114514962,2022-03-30,,
3,2022-03-31,44.113956451416016,44.28507552044739,40.58894822589709,41.410310253069724,20994001,2022-03-31,,
4,2022-04-01,44.31930160522461,46.3042566539254,41.92366368061787,43.70328094681907,86487987,2022-04-01,,
5,2022-04-04,45.2091064453125,45.82512707693899,44.182406611086094,45.448670227359095,9315387,2022-04-04,,
6,2022-04-05,45.89357376098633,47.09139262743807,43.94284122289437,45.17488244111528,29860846,2022-04-05,,
7,2022-04-06,46.714935302734375,47.05716978320374,45.51711644881811,45.8935732806985,10740220,2022-04-06,,
8,2022-04-07,46.20158767700195,47.19406516024972,45.311777253025426,47.19406516024972,7857918,2022-04-07,,
9,2022-04-08,48.49455642700195,48.49455642700195,46.201589238820574,46.54382009220007,28488199,2022-04-08,,
10,2022-04-11,49.93193817138672,51.19820180772395,47.638971029101526,49.623926022966344,30039577,2022-04-11,,
11,2022-04-12,47.43362808227539,50.205722707733244,46.54381767444129,49.93193657707037,9765749,2022-04-12,,
12,2022-04-13,50.00038528442383,50.51373888982594,47.22829043706624,47.5705249555165,12054588,2022-04-13,,
13,2022-04-18,47.15983963012695,49.623921995702524,46.92027586372639,49.28168752149414,12005557,2022-04-18,,
14,2022-04-19,44.86687469482422,47.91275934181286,43.80595244264417,47.39940939328014,8412845,2022-04-19,,
15,2022-04-20,45.4828987121582,45.79090721701443,44.2166313714898,45.00377112197882,7268514,2022-04-20,,
16,2022-04-21,47.19406509399414,47.70741501144254,45.65401168619572,45.65401168619572,6712435,2022-04-21,,
17,2022-04-22,48.63145065307617,49.00790752508658,45.85935581786004,46.81761100314233,15376765,2022-04-22,,
18,2022-04-25,47.94697952270508,49.35013988421661,47.46785195101366,47.60474502071788,8601343,2022-04-25,,
19,2022-04-26,50.8559684753418,52.01956507775291,47.19406689636177,48.8710134358264,22289685,2022-04-26,46.26832256317139,
20,2022-04-27,48.97368621826172,50.61640681715403,48.66567404977681,50.30839830412263,10325935,2022-04-27,46.596867370605466,
21,2022-04-28,48.357662200927734,49.72659654814815,47.22828798317663,49.487032763225585,6260336,2022-04-28,46.998992156982425,
22,2022-04-29,47.570526123046875,48.59722970359618,46.783386345747054,48.426110612444525,6765768,2022-04-29,47.26764602661133,
23,2022-05-02,47.63896942138672,47.844307191283974,45.79090390413935,46.68071431035568,3898186,2022-05-02,47.44389667510986,
24,2022-05-04,46.13313674926758,48.18653996317908,45.85935062886685,48.118095260805404,3899081,2022-05-04,47.53458843231201,
25,2022-05-05,47.60474395751953,47.87853374626647,45.68823371355694,46.133138921749165,9270277,2022-05-05,47.65437030792236,
26,2022-05-06,46.20158767700195,46.47537381263171,44.695756620131874,45.85935317973815,5260313,2022-05-06,47.66977100372314,
27,2022-05-09,45.24333572387695,46.03047183294928,44.49041831484469,45.17488735743639,5668224,2022-05-09,47.596191024780275,
28,2022-05-10,44.38774490356445,45.996246690654374,43.94284334274349,45.17488462039937,6053448,2022-05-10,47.5054988861084,
29,2022-05-11,43.18992614746094,45.14066244270549,42.4712347901217,45.1064364336989,8707127,2022-05-11,47.24026737213135,
30,2022-05-12,41.341861724853516,42.505458229864765,40.144042868357545,41.923659977359144,10027505,2022-05-12,46.81076354980469,
