Price,Date,Close,High,Low,Open,Volume,timestamp,SMA20,SMA50
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,
0,2022-01-03,1105.4713134765625,1107.356864762779,1086.938391544727,1087.605225436156,5421611,2022-01-03,,
1,2022-01-04,1130.4195556640625,1131.7532234396476,1105.5402776808248,1111.0128892480977,10847728,2022-01-04,,
2,2022-01-05,1135.7081298828125,1139.1112695689603,1118.853726917057,1132.2131515269346,11643813,2022-01-05,,
3,2022-01-06,1111.288818359375,1128.5341749578586,1107.8396983834275,1127.2464872814212,14447422,2022-01-06,,
4,2022-01-07,1120.25634765625,1130.3965530443174,1109.0123752797306,1117.9339849337987,13112115,2022-01-07,,
5,2022-01-10,1121.1761474609375,1129.9138370822188,1111.081921551421,1127.6144642830334,9246731,2022-01-10,,
6,2022-01-11,1129.2469482421875,1138.1684364191747,1119.7964449978904,1120.2563681916129,16205164,2022-01-11,,
7,2022-01-12,1159.3917236328125,1161.1623245945923,1133.5927198415375,1136.4899562875166,14800442,2022-01-12,,
8,2022-01-13,1165.9219970703125,1168.543352566903,1153.5513886576791,1159.4608119235659,11856712,2022-01-13,,
9,2022-01-14,1167.62353515625,1180.6379877271434,1161.5761712699234,1165.7840855597694,19930176,2022-01-14,,
10,2022-01-17,1173.716796875,1179.5802397185378,1166.703728524455,1167.1636517116303,8036453,2022-01-17,,
11,2022-01-18,1159.713623046875,1178.361494697125,1156.9313371930027,1174.8665164628114,6215029,2022-01-18,,
12,2022-01-19,1159.6217041015625,1169.0031154532785,1153.8272314192543,1163.4846453428938,9755485,2022-01-19,,
13,2022-01-20,1139.3182373046875,1154.264221297625,1128.9939889820655,1149.7114558635267,16494486,2022-01-20,,
14,2022-01-21,1139.5020751953125,1150.7230574146292,1127.6143807409737,1127.6143807409737,13338594,2022-01-21,,
15,2022-01-24,1093.53759765625,1151.8727887075468,1083.0524196879874,1138.1913818674534,21868937,2022-01-24,,
16,2022-01-25,1091.399169921875,1098.4812084204827,1060.0126058353721,1080.5000487883706,24510205,2022-01-25,,
17,2022-01-27,1075.2344970703125,1083.5122630680676,1062.7949188163498,1074.2687921687507,20020431,2022-01-27,,
18,2022-01-28,1074.1998291015625,1092.6178007901337,1070.7738209476483,1087.6052339871337,14667727,2022-01-28,,
19,2022-01-31,1097.53857421875,1106.6441050887506,1083.5582951707104,1085.3978663920823,12143683,2022-01-31,1127.5143310546875,
20,2022-02-01,1093.905517578125,1113.1742442991965,1079.3734768527388,1107.3798930561438,13200509,2022-02-01,1126.9360412597657,
21,2022-02-02,1096.1358642578125,1106.919913450215,1092.2499330018145,1106.919913450215,10017691,2022-02-02,1125.221856689453,
22,2022-02-03,1081.9716796875,1104.3676644275367,1079.4194161589883,1100.021809929246,9572839,2022-02-03,1122.5350341796875,
23,2022-02-04,1072.107421875,1079.9943570084113,1067.4167159214758,1076.5682270388309,11061241,2022-02-04,1120.5759643554688,
24,2022-02-07,1065.5772705078125,1083.83431265629,1060.0126982503386,1077.0281544889654,10714467,2022-02-07,1117.8420104980469,
25,2022-02-08,1083.4892578125,1085.3058388425916,1062.3119906639906,1071.808473924955,12060849,2022-02-08,1115.957666015625,
26,2022-02-09,1096.1129150390625,1097.8144240991976,1084.386150602236,1090.4333926250813,11486225,2022-02-09,1114.3009643554688,
